time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,mu,omega_dot_x,omega_dot_y,omega_dot_z
2.2,0.7900456444090137,-0.3811291476755262,0.4801719652195048,-0.3622792189282357,0.9110981672289616,0.1989908834014286,1.873690298331668,-4.449453444127559,-1.0869414126730934,0.12631858421981043
2.25,0.8143596140982022,-0.3620611620787459,0.45357109495052483,-0.5765149016891693,0.8480231153685557,0.2051902832358003,2.0188816812324366,-4.095099582462316,-1.4416253286446248,0.12158293816487097
2.3000000000000003,0.8359066117342658,-0.3385553676740954,0.4320149984793501,-0.769463067548713,0.7664742727843495,0.2111420101393151,2.2538875220906847,-3.6011791432518065,-1.8239909394251335,0.11641726739389636
2.35,0.8545831971204776,-0.3114286291524273,0.41556742282796916,-0.9346666023756446,0.6653943481898819,0.21682544472808093,2.5446947306662424,-2.989285885718971,-2.2201369443752643,0.11085768179638064
2.4000000000000004,0.8702641865873608,-0.2814144074507758,0.4042803968640493,-1.066849253953977,0.5445340303456143,0.22222188776015822,2.8244129149248356,-2.284848498188138,-2.6118758293979165,0.1049446626711665
2.45,0.8827921325189251,-0.24916269516641104,0.3982366163771892,-1.16207494119083,0.4046283475155795,0.22731474463879833,3.0372090647550256,-1.5158204504395991,-2.9783197784912065,0.09872166216199607
2.5,0.8919663719492195,-0.2152527397078928,0.3975658202592369,-1.217841553818509,0.24748690681778815,0.2320896370808685,3.1618540756788427,-0.7114076919253978,-3.2976724683068257,0.0922336479234649
2.5500000000000003,0.8975318506172297,-0.18021665817030477,0.4024360792343862,-1.233115129970183,0.07599553310826948,0.23653444585037986,3.1972310547634666,0.09903989138000135,-3.548959212720092,0.08552581883903561
2.6,0.8991698691953485,-0.14457226144192123,0.41302374833789396,-1.2083128207880394,-0.10596483552790645,0.240639295148539,3.1522937039765146,0.8869721082335592,-3.7135952215544803,0.07864256078062262
2.6500000000000004,0.8964947850651083,-0.10886235669602815,0.4294674218749267,-1.145242262838168,-0.29367236321030177,0.24439649113593404,3.0408962200173173,1.6254437036066616,-3.7767336801762608,0.07162665517172424
2.7,0.8890619151449006,-0.07369578310069214,0.4518119407042843,-1.0470035190819376,-0.4817795004171098,0.24780042688822398,2.8792551104428297,2.289811179705908,-3.728349951092677,0.06451872291357946
