time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
1.060000,-0.187617,-2.716428,1.512886,-0.054803,0.667576,0.118164,0.919129,0.356245,0.448639,7.242282,9.235369,-0.459827,-0.930012,-11.057881,-2.277035
1.070000,-0.188118,-2.709733,1.514090,-0.045250,0.671598,0.122627,0.991473,0.447976,0.443936,7.223032,9.103718,-0.479986,-2.925678,-15.254120,-1.782029
1.080000,-0.188520,-2.702993,1.515338,-0.034974,0.676530,0.127042,1.063523,0.538182,0.439054,7.183662,8.930677,-0.496013,-4.953259,-19.333297,-1.450868
1.090000,-0.188815,-2.696200,1.516630,-0.023981,0.682355,0.131407,1.135078,0.626455,0.434024,7.123873,8.717489,-0.509554,-7.008831,-23.281231,-1.285063
1.100000,-0.188997,-2.689343,1.517966,-0.012275,0.689052,0.135722,1.205932,0.712402,0.428865,7.043405,8.465537,-0.522271,-9.088473,-27.083745,-1.286121
1.110000,-0.189059,-2.682416,1.519345,0.000135,0.696595,0.139983,1.275872,0.795627,0.423625,6.941621,8.174947,-0.531339,-11.177750,-30.691319,-1.569200
1.120000,-0.188992,-2.675409,1.520766,0.013239,0.704954,0.144192,1.344694,0.875784,0.418226,6.819323,7.850698,-0.549101,-13.284539,-34.129442,-2.008245
1.130000,-0.188791,-2.668314,1.522228,0.027024,0.714099,0.148347,1.412188,0.952529,0.412626,6.675880,7.492956,-0.571982,-15.406204,-37.388264,-2.590850
1.140000,-0.188450,-2.661124,1.523732,0.041477,0.723993,0.152444,1.478141,1.025537,0.406765,6.511158,7.103563,-0.601355,-17.540111,-40.457933,-3.304610
1.150000,-0.187960,-2.653832,1.525277,0.056581,0.734596,0.156481,1.542340,1.094501,0.400573,6.325046,6.684461,-0.638470,-19.683623,-43.328599,-4.137117
1.160000,-0.187316,-2.646430,1.526862,0.072318,0.745868,0.160453,1.604571,1.159123,0.393993,6.117508,6.236701,-0.681983,-21.835268,-45.965505,-5.138324
1.170000,-0.186511,-2.638912,1.528486,0.088666,0.757764,0.164358,1.664618,1.219151,0.386898,5.888379,5.764757,-0.738740,-23.991105,-48.386755,-6.225829
1.180000,-0.185540,-2.631273,1.530149,0.105602,0.770235,0.168189,1.722266,1.274342,0.379181,5.637681,5.269708,-0.806721,-26.148358,-50.585547,-7.379590
1.190000,-0.184397,-2.623506,1.531849,0.123102,0.783234,0.171939,1.777300,1.324476,0.370725,5.365416,4.753811,-0.886486,-28.304248,-52.555078,-8.579566
1.200000,-0.183077,-2.615607,1.533587,0.141139,0.796707,0.175601,1.829503,1.369356,0.361410,5.071610,4.219393,-0.978399,-30.455998,-54.288549,-9.805714
1.210000,-0.181573,-2.607570,1.535361,0.159682,0.810603,0.179164,1.878664,1.408794,0.351116,4.756647,3.667446,-1.082620,-32.609107,-55.743722,-11.038008
1.220000,-0.179881,-2.599393,1.537170,0.178701,0.824865,0.182619,1.924564,1.442661,0.339717,4.419833,3.103754,-1.199112,-34.751507,-56.953569,-12.256388
1.230000,-0.177997,-2.591072,1.539013,0.198162,0.839437,0.185955,1.966989,1.470833,0.327093,4.061665,2.529201,-1.327635,-36.879407,-57.915628,-13.440809
1.240000,-0.175917,-2.582604,1.540889,0.218028,0.854262,0.189157,2.005727,1.493217,0.313126,3.682306,1.946276,-1.467748,-38.989015,-58.627435,-14.571227
1.250000,-0.173636,-2.573986,1.542796,0.238263,0.869282,0.192212,2.040565,1.509739,0.297702,3.281958,1.357495,-1.618813,-41.076540,-59.086529,-15.627598
1.260000,-0.171151,-2.565218,1.544732,0.258826,0.884438,0.195106,2.071304,1.520347,0.280694,2.861564,0.764584,-1.782022,-43.155932,-59.269939,-16.538467
1.270000,-0.168458,-2.556297,1.546697,0.279675,0.899670,0.197821,2.097728,1.525029,0.262033,2.419738,0.172031,-1.951518,-45.203487,-59.198222,-17.341495
1.280000,-0.165556,-2.547224,1.548688,0.300765,0.914919,0.200341,2.119631,1.523794,0.241638,1.957620,-0.418530,-2.128447,-47.213240,-58.871424,-18.022934
1.290000,-0.162442,-2.537999,1.550703,0.322052,0.930126,0.202648,2.136814,1.516674,0.219443,1.475619,-1.004548,-2.311525,-49.179228,-58.289595,-18.569035
1.300000,-0.159115,-2.528622,1.552740,0.343485,0.945233,0.204724,2.149079,1.503727,0.195392,0.974201,-1.583472,-2.499331,-51.095487,-57.452782,-18.966048
1.310000,-0.155572,-2.519095,1.554797,0.365016,0.960182,0.206550,2.156247,1.485025,0.169411,0.454952,-2.153798,-2.693485,-52.982759,-56.334642,-19.119866
1.320000,-0.151814,-2.509419,1.556871,0.386592,0.974915,0.208107,2.158116,1.460692,0.141520,-0.084045,-2.710504,-2.884760,-54.805106,-54.964848,-19.106938
1.330000,-0.147840,-2.499597,1.558958,0.408160,0.989377,0.209375,2.154506,1.430865,0.111720,-0.640903,-3.252267,-3.075055,-56.553293,-53.346678,-18.923356
1.340000,-0.143651,-2.489633,1.561057,0.429663,1.003514,0.210335,2.145241,1.395705,0.080028,-1.214833,-3.776621,-3.262645,-58.218087,-51.483414,-18.565211
1.350000,-0.139248,-2.479528,1.563164,0.451045,1.017274,0.210969,2.130155,1.355399,0.046482,-1.804956,-4.281130,-3.445764,-59.790255,-49.378335,-18.028593
1.360000,-0.134631,-2.469289,1.565275,0.472246,1.030606,0.211259,2.109100,1.310141,0.011098,-2.409471,-4.764835,-3.625911,-61.281462,-46.998281,-17.226195
1.370000,-0.129803,-2.458918,1.567388,0.493207,1.043462,0.211186,2.081918,1.260185,-0.026007,-3.029273,-5.221953,-3.793424,-62.659016,-44.387434,-16.247718
1.380000,-0.124768,-2.448421,1.569498,0.513864,1.055795,0.210734,2.048471,1.205793,-0.064735,-3.662233,-5.651840,-3.950299,-63.911124,-41.553537,-15.099466
1.390000,-0.119527,-2.437804,1.571601,0.534155,1.067564,0.209887,2.008634,1.147246,-0.104972,-4.307038,-6.052306,-4.094869,-65.025995,-38.504331,-13.787741
1.400000,-0.114086,-2.427072,1.573694,0.554015,1.078727,0.208630,1.962296,1.084852,-0.146586,-4.962257,-6.421235,-4.225530,-65.991834,-35.247560,-12.318846
1.410000,-0.108449,-2.416231,1.575772,0.573379,1.089250,0.206951,1.909359,1.018912,-0.189459,-5.626344,-6.758620,-4.343313,-66.796711,-31.739720,-10.634171
1.420000,-0.102620,-2.405289,1.577832,0.592180,1.099096,0.204838,1.849745,0.949799,-0.233394,-6.297622,-7.057698,-4.440656,-67.428990,-28.046072,-8.812881
1.430000,-0.096607,-2.394252,1.579868,0.610351,1.108236,0.202281,1.783389,0.877884,-0.278209,-6.974310,-7.318969,-4.519163,-67.876893,-24.180635,-6.869227
1.440000,-0.090416,-2.383127,1.581876,0.627825,1.116645,0.199271,1.710247,0.803551,-0.323711,-7.654506,-7.540784,-4.577680,-68.128645,-20.157424,-4.817461
1.450000,-0.084053,-2.371921,1.583852,0.644533,1.124300,0.195805,1.630294,0.727205,-0.369693,-8.336189,-7.721638,-4.615199,-68.172472,-15.990457,-2.671834
1.460000,-0.077528,-2.360643,1.585790,0.660408,1.131185,0.191877,1.543511,0.649235,-0.415956,-9.018503,-7.862480,-4.632202,-67.964251,-11.635172,-0.412472
1.470000,-0.070848,-2.349300,1.587688,0.675381,1.137282,0.187486,1.449934,0.570102,-0.462260,-9.696160,-7.956595,-4.624768,-67.528513,-7.171337,1.908069
1.480000,-0.064023,-2.337900,1.589539,0.689385,1.142584,0.182633,1.349607,0.490253,-0.508373,-10.368289,-8.005616,-4.593899,-66.857443,-2.620142,4.271359
1.490000,-0.057064,-2.326451,1.591339,0.702351,1.147086,0.177320,1.242595,0.410143,-0.554059,-11.032498,-8.008777,-4.539260,-65.943227,1.997223,6.658969
